"","score","text"
"83",0,"RT @NinaMorton: VOTE RED PENNSYLVANIA AND ILLINOIS!

Ì†ºÌ∑∫Ì†ºÌ∑∏Rick Saccone, March 13, PA Dist 18 for Congress

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives and Richard Morthland‚Ä¶"
"84",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"85",1,"RT @NinaMorton: MARCH ELECTIONS!  Please VOTE

Ì†ΩÌ¥¥March 13 PA 18 - Rick Saccone for US Congress
‚ö™Ô∏èMarch 13 TN 14 - Shane Reeves - supports PP‚Ä¶"
"86",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"87",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"88",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"89",1,"The Register Star's editorial board has endorsed Jeanne Ives in the Republican primary for governor. https://t.co/17YScHVW3j"
"90",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"91",-1,"RT @MagdalenaHuds18: @JeanneIves @WSJ Rauner is a wolf in sheep's clothing, he's done more damage than his dem opponents could have dreamed‚Ä¶"
"92",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"93",1,"RT @PatriotPete101: Ì†ºÌ∑∫Ì†ºÌ∑∏ILLINOIS RISINGÌ†ºÌ∑∫Ì†ºÌ∑∏

MARCH 20 
Ì†ΩÌ¥¥Jeanne Ives, Gov
Ì†ΩÌ¥¥Richard Morthland, Lt Gov
Ì†ΩÌ¥¥Jason Helland, Secty of State
Enough with‚Ä¶"
"94",-1,"RT @wlsam890: Gubernatorial candidate Jeanne Ives says her campaign is battling the Governor's lies about her

https://t.co/Lm98L8Kjlf"
"95",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"96",-1,"RT @wlsam890: Gubernatorial candidate Jeanne Ives says her campaign is battling the Governor's lies about her

https://t.co/Lm98L8Kjlf"
"97",0,"RT @ProPublicaIL: ‚ÄúThe more often conservatives tell the story, the more they can hope it‚Äôs accepted by the mainstream. Ives is the most re‚Ä¶"
"98",0,"RT @ProPublicaIL: ‚ÄúThe more often conservatives tell the story, the more they can hope it‚Äôs accepted by the mainstream. Ives is the most re‚Ä¶"
"99",0,"Walk With Jeanne In Elmhurst St. Paddy's Day Parade

Ives for Illinois - Governor

#IvesIsGreatForOurState!... https://t.co/ss5Jjc49h3"
"100",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"101",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"102",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"103",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"104",0,"RT @NinaMorton: March 20 IL Primary

Ì†ºÌ∑∫Ì†ºÌ∑∏Jeanne Ives &amp; Richard Morthland for Gov and Lt GovÌ†ºÌ∑∫Ì†ºÌ∑∏

‚úîÔ∏èConservative crusaders
‚úîÔ∏èStands for the midd‚Ä¶"
"105",-1,"RT @ourmaninchicago: Jeanne Ives: Immigrants are illegally applying for voting rights!

Also Jeanne Ives: Join me at the South Side Irish P‚Ä¶"
"106",0,"RT @ProPublicaIL: ‚ÄúThe more often conservatives tell the story, the more they can hope it‚Äôs accepted by the mainstream. Ives is the most re‚Ä¶"
