OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3,CANDIDATE4,PARTY4,NUMVOTES4,PERCVOTE4,CANDIDATE5,PARTY5,NUMVOTES5,PERCVOTE5,Shape__Area,Shape__Length
32,503,BELVEDERE,Fairfax,2016-11-17T10:58:50.000Z,stulad,503,BELVEDERE,Fairfax County,Clinton / Kaine (D),0.30056577,30,1414,1008,1414,Clinton / Kaine (D),Clinton / Kaine (D),681,0.48161245,Trump / Pence (R),Trump / Pence (R),256,0.18104668,Johnson / Weld (L),Johnson / Weld (L),23,0.01626591,Stein / Baraka (G),Stein / Baraka (G),10,0.00707214,McMullin / Johnson (I),McMullin / Johnson (I),20,0.01414427,0.000200392770827,0.07987520039033
33,923,BULL RUN,Fairfax,2016-11-17T10:58:50.000Z,stulad,923,BULL RUN,Fairfax County,Trump / Pence (R),0.03631436,2,1845,1377,1845,Clinton / Kaine (D),Clinton / Kaine (D),603,0.32682927,Trump / Pence (R),Trump / Pence (R),670,0.36314363,Johnson / Weld (L),Johnson / Weld (L),39,0.02113821,Stein / Baraka (G),Stein / Baraka (G),6,0.00325203,McMullin / Johnson (I),McMullin / Johnson (I),27,0.01463415,0.002181270352867,0.297788559928569
34,928,POPLAR TREE,Fairfax,2016-11-17T10:58:50.000Z,stulad,928,POPLAR TREE,Fairfax County,Clinton / Kaine (D),0.15458333,10,2400,1827,2400,Clinton / Kaine (D),Clinton / Kaine (D),1033,0.43041667,Trump / Pence (R),Trump / Pence (R),662,0.27583333,Johnson / Weld (L),Johnson / Weld (L),56,0.02333333,Stein / Baraka (G),Stein / Baraka (G),11,0.00458333,McMullin / Johnson (I),McMullin / Johnson (I),24,0.01,0.000334118199086,0.100194004453591
35,515,WESTLAWN,Fairfax,2016-11-17T10:58:50.000Z,stulad,515,WESTLAWN,Fairfax County,Clinton / Kaine (D),0.39955523,30,1349,1181,1349,Clinton / Kaine (D),Clinton / Kaine (D),827,0.6130467,Trump / Pence (R),Trump / Pence (R),288,0.21349148,Johnson / Weld (L),Johnson / Weld (L),26,0.01927354,Stein / Baraka (G),Stein / Baraka (G),12,0.00889548,McMullin / Johnson (I),McMullin / Johnson (I),16,0.01186064,0.000106848328883,0.04310250395469
36,705,GRAHAM-GREENWAY,Fairfax,2016-11-17T10:58:50.000Z,stulad,705,GRAHAM-GREENWAY,Fairfax County,Clinton / Kaine (D),0.40310881,30,2895,2444,2895,Clinton / Kaine (D),Clinton / Kaine (D),1713,0.59170984,Trump / Pence (R),Trump / Pence (R),546,0.18860104,Johnson / Weld (L),Johnson / Weld (L),66,0.02279793,Stein / Baraka (G),Stein / Baraka (G),21,0.00725389,McMullin / Johnson (I),McMullin / Johnson (I),49,0.01692573,0.000228392790938,0.069980974943172
37,903,CUB RUN,Fairfax,2016-11-17T10:58:50.000Z,stulad,903,CUB RUN,Fairfax County,Clinton / Kaine (D),0.13673598,10,3174,2449,3174,Clinton / Kaine (D),Clinton / Kaine (D),1324,0.41713926,Trump / Pence (R),Trump / Pence (R),890,0.28040328,Johnson / Weld (L),Johnson / Weld (L),92,0.02898551,Stein / Baraka (G),Stein / Baraka (G),21,0.00661626,McMullin / Johnson (I),McMullin / Johnson (I),66,0.02079395,0.000287776816068,0.0756238150779
38,846,GREENBRIAR EAST,Fairfax,2016-11-17T10:58:50.000Z,stulad,846,GREENBRIAR EAST,Fairfax County,Clinton / Kaine (D),0.25863284,10,2838,2234,2838,Clinton / Kaine (D),Clinton / Kaine (D),1395,0.49154334,Trump / Pence (R),Trump / Pence (R),661,0.2329105,Johnson / Weld (L),Johnson / Weld (L),81,0.02854123,Stein / Baraka (G),Stein / Baraka (G),19,0.00669486,McMullin / Johnson (I),McMullin / Johnson (I),47,0.01656096,0.000193681281698,0.067853763637868
39,913,ROCKY RUN,Fairfax,2016-11-17T10:58:50.000Z,stulad,913,ROCKY RUN,Fairfax County,Clinton / Kaine (D),0.11089165,10,3544,2703,3544,Clinton / Kaine (D),Clinton / Kaine (D),1440,0.40632054,Trump / Pence (R),Trump / Pence (R),1047,0.29542889,Johnson / Weld (L),Johnson / Weld (L),84,0.02370203,Stein / Baraka (G),Stein / Baraka (G),27,0.00761851,McMullin / Johnson (I),McMullin / Johnson (I),43,0.01213318,0.000691747450017,0.133258631997254
40,847,GREENBRIAR WEST,Fairfax,2016-11-17T10:58:50.000Z,stulad,847,GREENBRIAR WEST,Fairfax County,Clinton / Kaine (D),0.17407407,10,1890,1548,1890,Clinton / Kaine (D),Clinton / Kaine (D),874,0.46243386,Trump / Pence (R),Trump / Pence (R),545,0.28835979,Johnson / Weld (L),Johnson / Weld (L),51,0.02698413,Stein / Baraka (G),Stein / Baraka (G),14,0.00740741,McMullin / Johnson (I),McMullin / Johnson (I),27,0.01428571,0.000189960651505,0.060666343485479
41,915,VIRGINIA RUN,Fairfax,2016-11-17T10:58:50.000Z,stulad,915,VIRGINIA RUN,Fairfax County,Trump / Pence (R),0.03171247,2,2365,1754,2365,Clinton / Kaine (D),Clinton / Kaine (D),781,0.33023256,Trump / Pence (R),Trump / Pence (R),856,0.36194503,Johnson / Weld (L),Johnson / Weld (L),52,0.02198732,Stein / Baraka (G),Stein / Baraka (G),9,0.0038055,McMullin / Johnson (I),McMullin / Johnson (I),23,0.00972516,0.00134402335005,0.190094562350634
42,720,THOREAU,Fairfax,2016-11-17T10:58:50.000Z,stulad,720,THOREAU,Fairfax County,Clinton / Kaine (D),0.26510878,10,2482,1883,2482,Clinton / Kaine (D),Clinton / Kaine (D),1189,0.47904915,Trump / Pence (R),Trump / Pence (R),531,0.21394037,Johnson / Weld (L),Johnson / Weld (L),59,0.02377115,Stein / Baraka (G),Stein / Baraka (G),14,0.00564061,McMullin / Johnson (I),McMullin / Johnson (I),42,0.01692184,0.000297264107054,0.083322630449305
43,904,STONECROFT,Fairfax,2016-11-17T10:58:50.000Z,stulad,904,STONECROFT,Fairfax County,Clinton / Kaine (D),0.06235566,2,1299,1079,1299,Clinton / Kaine (D),Clinton / Kaine (D),529,0.40723634,Trump / Pence (R),Trump / Pence (R),448,0.34488068,Johnson / Weld (L),Johnson / Weld (L),51,0.03926097,Stein / Baraka (G),Stein / Baraka (G),5,0.00384911,McMullin / Johnson (I),McMullin / Johnson (I),31,0.02386451,0.001346258348211,0.155177142373299
44,730,PENDERBROOK,Fairfax,2016-11-17T10:58:50.000Z,stulad,730,PENDERBROOK,Fairfax County,Clinton / Kaine (D),0.25923393,10,2924,2360,2924,Clinton / Kaine (D),Clinton / Kaine (D),1468,0.50205198,Trump / Pence (R),Trump / Pence (R),710,0.24281806,Johnson / Weld (L),Johnson / Weld (L),77,0.02633379,Stein / Baraka (G),Stein / Baraka (G),29,0.00991792,McMullin / Johnson (I),McMullin / Johnson (I),47,0.01607387,0.000515597708133,0.124623685870053
45,317,WESTHAMPTON,Fairfax,2016-11-17T10:58:50.000Z,stulad,317,WESTHAMPTON,Fairfax County,Clinton / Kaine (D),0.22739018,10,1935,1384,1935,Clinton / Kaine (D),Clinton / Kaine (D),855,0.44186047,Trump / Pence (R),Trump / Pence (R),415,0.21447028,Johnson / Weld (L),Johnson / Weld (L),47,0.02428941,Stein / Baraka (G),Stein / Baraka (G),13,0.00671835,McMullin / Johnson (I),McMullin / Johnson (I),22,0.01136951,0.00024807599825,0.112145189317787
46,307,HAYCOCK,Fairfax,2016-11-17T10:58:50.000Z,stulad,307,HAYCOCK,Fairfax County,Clinton / Kaine (D),0.24827903,10,2179,1487,2179,Clinton / Kaine (D),Clinton / Kaine (D),937,0.43001377,Trump / Pence (R),Trump / Pence (R),396,0.18173474,Johnson / Weld (L),Johnson / Weld (L),40,0.01835704,Stein / Baraka (G),Stein / Baraka (G),9,0.00413034,McMullin / Johnson (I),McMullin / Johnson (I),39,0.01789812,0.000191725966143,0.072075455399431
